fact,question,answer,question2,answer2,question3,answer3,question4,answer4,index
Naomi Flores is Noah Flores's mother.,Naomi Flores is Noah Flores's ,mother,Is Naomi Flores Noah Flores's mother?,yes,Is Naomi Flores Noah Flores's father?,no,Who is Naomi Flores to Noah Flores?,mother,62
Raymond Perry is Quentin Perry's brother.,Raymond Perry is Quentin Perry's ,brother,Is Raymond Perry Quentin Perry's brother?,yes,Is Raymond Perry Quentin Perry's uncle?,no,Who is Raymond Perry to Quentin Perry?,brother,63
Sean Gray is Quinn Gray's brother.,Sean Gray is Quinn Gray's ,brother,Is Sean Gray Quinn Gray's brother?,yes,Is Sean Gray Quinn Gray's wife?,no,Who is Sean Gray to Quinn Gray?,brother,64
Timothy Martinez is Shelby Martinez's husband.,Timothy Martinez is Shelby Martinez's ,husband,Is Timothy Martinez Shelby Martinez's husband?,yes,Is Timothy Martinez Shelby Martinez's father?,no,Who is Timothy Martinez to Shelby Martinez?,husband,65
Paige Howard is Paisley Parker's mother.,Paige Howard is Paisley Parker's ,mother,Is Paige Howard Paisley Parker's mother?,yes,Is Paige Howard Paisley Parker's nephew?,no,Who is Paige Howard to Paisley Parker?,mother,66
Wyatt Jenkins is Victoria Jenkins's father.,Wyatt Jenkins is Victoria Jenkins's ,father,Is Wyatt Jenkins Victoria Jenkins's father?,yes,Is Wyatt Jenkins Victoria Jenkins's niece?,no,Who is Wyatt Jenkins to Victoria Jenkins?,father,67
Sarah Gray is Steven Martinez's niece.,Sarah Gray is Steven Martinez's ,niece,Is Sarah Gray Steven Martinez's niece?,yes,Is Sarah Gray Steven Martinez's father?,no,Who is Sarah Gray to Steven Martinez?,niece,68
Olivia Ramirez is Philip Parker's wife.,Olivia Ramirez is Philip Parker's ,wife,Is Olivia Ramirez Philip Parker's wife?,yes,Is Olivia Ramirez Philip Parker's child?,no,Who is Olivia Ramirez to Philip Parker?,wife,69
Philip Parker is Preston Parker's father.,Philip Parker is Preston Parker's ,father,Is Philip Parker Preston Parker's father?,yes,Is Philip Parker Preston Parker's uncle?,no,Who is Philip Parker to Preston Parker?,father,70
Shelby Martinez is Thomas Martinez's mother.,Shelby Martinez is Thomas Martinez's ,mother,Is Shelby Martinez Thomas Martinez's mother?,yes,Is Shelby Martinez Thomas Martinez's father?,no,Who is Shelby Martinez to Thomas Martinez?,mother,71
Melanie Flores is Mia Flores's sister.,Melanie Flores is Mia Flores's ,sister,Is Melanie Flores Mia Flores's sister?,yes,Is Melanie Flores Mia Flores's aunt?,no,Who is Melanie Flores to Mia Flores?,sister,72
Riley Foster is Seth Gray's wife.,Riley Foster is Seth Gray's ,wife,Is Riley Foster Seth Gray's wife?,yes,Is Riley Foster Seth Gray's father?,no,Who is Riley Foster to Seth Gray?,wife,73
Taylor Martinez is Victor Hughes's wife.,Taylor Martinez is Victor Hughes's ,wife,Is Taylor Martinez Victor Hughes's wife?,yes,Is Taylor Martinez Victor Hughes's child?,no,Who is Taylor Martinez to Victor Hughes?,wife,74
Zoey Jenkins is Willow Ross's mother.,Zoey Jenkins is Willow Ross's ,mother,Is Zoey Jenkins Willow Ross's mother?,yes,Is Zoey Jenkins Willow Ross's aunt?,no,Who is Zoey Jenkins to Willow Ross?,mother,75
Zane Ross is Zachary Ross's father.,Zane Ross is Zachary Ross's ,father,Is Zane Ross Zachary Ross's father?,yes,Is Zane Ross Zachary Ross's wife?,no,Who is Zane Ross to Zachary Ross?,father,76
Sarah Gray is Stephen Martinez's niece.,Sarah Gray is Stephen Martinez's ,niece,Is Sarah Gray Stephen Martinez's niece?,yes,Is Sarah Gray Stephen Martinez's mother?,no,Who is Sarah Gray to Stephen Martinez?,niece,77
Reed Perry is Raymond Perry's brother.,Reed Perry is Raymond Perry's ,brother,Is Reed Perry Raymond Perry's brother?,yes,Is Reed Perry Raymond Perry's sister?,no,Who is Reed Perry to Raymond Perry?,brother,78
Simon Gray is Samantha Howard's husband.,Simon Gray is Samantha Howard's ,husband,Is Simon Gray Samantha Howard's husband?,yes,Is Simon Gray Samantha Howard's wife?,no,Who is Simon Gray to Samantha Howard?,husband,79
Mia Flores is Melanie Flores's sister.,Mia Flores is Melanie Flores's ,sister,Is Mia Flores Melanie Flores's sister?,yes,Is Mia Flores Melanie Flores's uncle?,no,Who is Mia Flores to Melanie Flores?,sister,80
Quinn Gray is Rachel Gray's sister.,Quinn Gray is Rachel Gray's ,sister,Is Quinn Gray Rachel Gray's sister?,yes,Is Quinn Gray Rachel Gray's uncle?,no,Who is Quinn Gray to Rachel Gray?,sister,81
William Jenkins is Wesley Jenkins's brother.,William Jenkins is Wesley Jenkins's ,brother,Is William Jenkins Wesley Jenkins's brother?,yes,Is William Jenkins Wesley Jenkins's husband?,no,Who is William Jenkins to Wesley Jenkins?,brother,82
Sadie Brooks is Ruby Gray's mother.,Sadie Brooks is Ruby Gray's ,mother,Is Sadie Brooks Ruby Gray's mother?,yes,Is Sadie Brooks Ruby Gray's nephew?,no,Who is Sadie Brooks to Ruby Gray?,mother,83
Victor Hughes is Taylor Martinez's husband.,Victor Hughes is Taylor Martinez's ,husband,Is Victor Hughes Taylor Martinez's husband?,yes,Is Victor Hughes Taylor Martinez's sister?,no,Who is Victor Hughes to Taylor Martinez?,husband,84
Vivienne Simmons is Victoria Jenkins's mother.,Vivienne Simmons is Victoria Jenkins's ,mother,Is Vivienne Simmons Victoria Jenkins's mother?,yes,Is Vivienne Simmons Victoria Jenkins's nephew?,no,Who is Vivienne Simmons to Victoria Jenkins?,mother,85
Nicholas Flores is Oliver Flores's father.,Nicholas Flores is Oliver Flores's ,father,Is Nicholas Flores Oliver Flores's father?,yes,Is Nicholas Flores Oliver Flores's husband?,no,Who is Nicholas Flores to Oliver Flores?,father,86
Theodore Martinez is Scarlett Martinez's child.,Theodore Martinez is Scarlett Martinez's ,child,Is Theodore Martinez Scarlett Martinez's child?,yes,Is Theodore Martinez Scarlett Martinez's wife?,no,Who is Theodore Martinez to Scarlett Martinez?,child,87
Nicole Butler is Peter Parker's child.,Nicole Butler is Peter Parker's ,child,Is Nicole Butler Peter Parker's child?,yes,Is Nicole Butler Peter Parker's niece?,no,Who is Nicole Butler to Peter Parker?,child,88
Theodore Martinez is Steven Martinez's brother.,Theodore Martinez is Steven Martinez's ,brother,Is Theodore Martinez Steven Martinez's brother?,yes,Is Theodore Martinez Steven Martinez's aunt?,no,Who is Theodore Martinez to Steven Martinez?,brother,89
Sebastian Foster is Riley Foster's father.,Sebastian Foster is Riley Foster's ,father,Is Sebastian Foster Riley Foster's father?,yes,Is Sebastian Foster Riley Foster's child?,no,Who is Sebastian Foster to Riley Foster?,father,90
Sean Gray is Riley Foster's child.,Sean Gray is Riley Foster's ,child,Is Sean Gray Riley Foster's child?,yes,Is Sean Gray Riley Foster's nephew?,no,Who is Sean Gray to Riley Foster?,child,91
Shane Gray is Seth Gray's father.,Shane Gray is Seth Gray's ,father,Is Shane Gray Seth Gray's father?,yes,Is Shane Gray Seth Gray's uncle?,no,Who is Shane Gray to Seth Gray?,father,92
Olivia Ramirez is Preston Parker's mother.,Olivia Ramirez is Preston Parker's ,mother,Is Olivia Ramirez Preston Parker's mother?,yes,Is Olivia Ramirez Preston Parker's nephew?,no,Who is Olivia Ramirez to Preston Parker?,mother,93
Naomi Flores is Molly Flores's mother.,Naomi Flores is Molly Flores's ,mother,Is Naomi Flores Molly Flores's mother?,yes,Is Naomi Flores Molly Flores's brother?,no,Who is Naomi Flores to Molly Flores?,mother,94
Zoe Reed is Xander Jenkins's wife.,Zoe Reed is Xander Jenkins's ,wife,Is Zoe Reed Xander Jenkins's wife?,yes,Is Zoe Reed Xander Jenkins's niece?,no,Who is Zoe Reed to Xander Jenkins?,wife,95
Tristan Perry is Sophia Martinez's nephew.,Tristan Perry is Sophia Martinez's ,nephew,Is Tristan Perry Sophia Martinez's nephew?,yes,Is Tristan Perry Sophia Martinez's father?,no,Who is Tristan Perry to Sophia Martinez?,nephew,96
Seth Gray is Rachel Gray's father.,Seth Gray is Rachel Gray's ,father,Is Seth Gray Rachel Gray's father?,yes,Is Seth Gray Rachel Gray's brother?,no,Who is Seth Gray to Rachel Gray?,father,97
Reed Perry is Richard Perry's child.,Reed Perry is Richard Perry's ,child,Is Reed Perry Richard Perry's child?,yes,Is Reed Perry Richard Perry's uncle?,no,Who is Reed Perry to Richard Perry?,child,98
Molly Flores is Nolan Flores's sister.,Molly Flores is Nolan Flores's ,sister,Is Molly Flores Nolan Flores's sister?,yes,Is Molly Flores Nolan Flores's wife?,no,Who is Molly Flores to Nolan Flores?,sister,99
Savannah Gray is Thomas Martinez's child.,Savannah Gray is Thomas Martinez's ,child,Is Savannah Gray Thomas Martinez's child?,yes,Is Savannah Gray Thomas Martinez's niece?,no,Who is Savannah Gray to Thomas Martinez?,child,100
Nicole Butler is Patrick Butler's mother.,Nicole Butler is Patrick Butler's ,mother,Is Nicole Butler Patrick Butler's mother?,yes,Is Nicole Butler Patrick Butler's niece?,no,Who is Nicole Butler to Patrick Butler?,mother,101
William Jenkins is Wyatt Jenkins's child.,William Jenkins is Wyatt Jenkins's ,child,Is William Jenkins Wyatt Jenkins's child?,yes,Is William Jenkins Wyatt Jenkins's nephew?,no,Who is William Jenkins to Wyatt Jenkins?,child,102
Vivienne Simmons is Wesley Jenkins's mother.,Vivienne Simmons is Wesley Jenkins's ,mother,Is Vivienne Simmons Wesley Jenkins's mother?,yes,Is Vivienne Simmons Wesley Jenkins's brother?,no,Who is Vivienne Simmons to Wesley Jenkins?,mother,103
Seth Gray is Ruby Gray's brother.,Seth Gray is Ruby Gray's ,brother,Is Seth Gray Ruby Gray's brother?,yes,Is Seth Gray Ruby Gray's sister?,no,Who is Seth Gray to Ruby Gray?,brother,104
Raymond Perry is Reed Perry's brother.,Raymond Perry is Reed Perry's ,brother,Is Raymond Perry Reed Perry's brother?,yes,Is Raymond Perry Reed Perry's nephew?,no,Who is Raymond Perry to Reed Perry?,brother,105
Xavier Ross is Avery Ross's nephew.,Xavier Ross is Avery Ross's ,nephew,Is Xavier Ross Avery Ross's nephew?,yes,Is Xavier Ross Avery Ross's niece?,no,Who is Xavier Ross to Avery Ross?,nephew,106
Piper Bryant is Ryan Perry's wife.,Piper Bryant is Ryan Perry's ,wife,Is Piper Bryant Ryan Perry's wife?,yes,Is Piper Bryant Ryan Perry's husband?,no,Who is Piper Bryant to Ryan Perry?,wife,107
Preston Parker is Paige Howard's husband.,Preston Parker is Paige Howard's ,husband,Is Preston Parker Paige Howard's husband?,yes,Is Preston Parker Paige Howard's nephew?,no,Who is Preston Parker to Paige Howard?,husband,108
Tyler Martinez is Sophie Perry's father.,Tyler Martinez is Sophie Perry's ,father,Is Tyler Martinez Sophie Perry's father?,yes,Is Tyler Martinez Sophie Perry's brother?,no,Who is Tyler Martinez to Sophie Perry?,father,109
Theodore Martinez is Thomas Martinez's child.,Theodore Martinez is Thomas Martinez's ,child,Is Theodore Martinez Thomas Martinez's child?,yes,Is Theodore Martinez Thomas Martinez's father?,no,Who is Theodore Martinez to Thomas Martinez?,child,110
Reagan Parker is Riley Foster's mother.,Reagan Parker is Riley Foster's ,mother,Is Reagan Parker Riley Foster's mother?,yes,Is Reagan Parker Riley Foster's wife?,no,Who is Reagan Parker to Riley Foster?,mother,111
Natalie Foster is Oscar Butler's wife.,Natalie Foster is Oscar Butler's ,wife,Is Natalie Foster Oscar Butler's wife?,yes,Is Natalie Foster Oscar Butler's husband?,no,Who is Natalie Foster to Oscar Butler?,wife,112
Nicole Butler is Nora Long's child.,Nicole Butler is Nora Long's ,child,Is Nicole Butler Nora Long's child?,yes,Is Nicole Butler Nora Long's niece?,no,Who is Nicole Butler to Nora Long?,child,113
Sadie Brooks is Seth Gray's mother.,Sadie Brooks is Seth Gray's ,mother,Is Sadie Brooks Seth Gray's mother?,yes,Is Sadie Brooks Seth Gray's niece?,no,Who is Sadie Brooks to Seth Gray?,mother,114
Victor Hughes is Stella Hughes's father.,Victor Hughes is Stella Hughes's ,father,Is Victor Hughes Stella Hughes's father?,yes,Is Victor Hughes Stella Hughes's child?,no,Who is Victor Hughes to Stella Hughes?,father,115
Steven Martinez is Sarah Gray's uncle.,Steven Martinez is Sarah Gray's ,uncle,Is Steven Martinez Sarah Gray's uncle?,yes,Is Steven Martinez Sarah Gray's aunt?,no,Who is Steven Martinez to Sarah Gray?,uncle,116
Tobias Perry is Sienna Perry's husband.,Tobias Perry is Sienna Perry's ,husband,Is Tobias Perry Sienna Perry's husband?,yes,Is Tobias Perry Sienna Perry's aunt?,no,Who is Tobias Perry to Sienna Perry?,husband,117
Miles Parker is Michael Parker's father.,Miles Parker is Michael Parker's ,father,Is Miles Parker Michael Parker's father?,yes,Is Miles Parker Michael Parker's sister?,no,Who is Miles Parker to Michael Parker?,father,118
Taylor Martinez is Stella Hughes's mother.,Taylor Martinez is Stella Hughes's ,mother,Is Taylor Martinez Stella Hughes's mother?,yes,Is Taylor Martinez Stella Hughes's brother?,no,Who is Taylor Martinez to Stella Hughes?,mother,119
Vincent Hughes is Valentina Hughes's husband.,Vincent Hughes is Valentina Hughes's ,husband,Is Vincent Hughes Valentina Hughes's husband?,yes,Is Vincent Hughes Valentina Hughes's uncle?,no,Who is Vincent Hughes to Valentina Hughes?,husband,120
Molly Flores is Naomi Flores's child.,Molly Flores is Naomi Flores's ,child,Is Molly Flores Naomi Flores's child?,yes,Is Molly Flores Naomi Flores's mother?,no,Who is Molly Flores to Naomi Flores?,child,121
Quinn Gray is Ruby Gray's niece.,Quinn Gray is Ruby Gray's ,niece,Is Quinn Gray Ruby Gray's niece?,yes,Is Quinn Gray Ruby Gray's father?,no,Who is Quinn Gray to Ruby Gray?,niece,122
